Tabla_Index,Numero,Posicion,Nombre,Club,Fecha_Nacimiento,Edad
0,1,GK,Matěj Kovář,PSV Eindhoven,2000-05-17,26
0,2,DF,David Zima,Slavia Prague,2000-11-08,25
0,3,DF,Tomáš Holeš,Slavia Prague,1993-03-31,33
0,4,DF,Robin Hranáč,TSG Hoffenheim,2000-01-29,26
0,5,DF,Vladimír Coufal,TSG Hoffenheim,1992-08-22,33
0,6,DF,Štěpán Chaloupek,Slavia Prague,2003-03-08,23
0,7,DF,Ladislav Krejčí,Wolverhampton Wanderers,1999-04-20,27
0,8,MF,Vladimír Darida,Hradec Králové,1990-08-08,35
0,9,FW,Adam Hložek,TSG Hoffenheim,2002-07-25,23
0,10,FW,Patrik Schick,Bayer Leverkusen,1996-01-24,30
0,11,FW,Jan Kuchta,Sparta Prague,1997-01-08,29
0,12,MF,Lukáš Červ,Viktoria Plzeň,2001-04-10,25
0,13,FW,Mojmír Chytil,Slavia Prague,1999-04-29,27
0,14,DF,David Jurásek,Slavia Prague,2000-08-07,25
0,15,FW,Pavel Šulc,Lyon,2000-12-29,25
0,16,GK,Jindřich Staněk,Slavia Prague,1996-04-27,30
0,17,MF,Lukáš Provod,Slavia Prague,1996-10-23,29
0,18,MF,Michal Sadílek,Slavia Prague,1999-05-31,27
0,19,FW,Tomáš Chorý,Slavia Prague,1995-01-26,31
0,20,DF,Jaroslav Zelený,Sparta Prague,1992-08-20,33
0,21,DF,David Douděra,Slavia Prague,1998-05-31,28
0,22,MF,Tomáš Souček,West Ham United,1995-02-27,31
0,23,GK,Lukáš Horníček,Braga,2002-07-13,23
0,24,MF,Alexandr Sojka,Viktoria Plzeň,2003-04-02,23
0,25,MF,Hugo Sochůrek,Sparta Prague,2008-06-07,18
0,26,FW,Denis Višinský,Viktoria Plzeň,2003-03-21,23
1,1,GK,Raúl Rangel,Guadalajara,2000-02-25,26
1,2,DF,Jorge Sánchez,PAOK,1997-12-10,28
1,3,DF,César Montes,Lokomotiv Moscow,1997-02-24,29
1,4,DF,Edson Álvarez,Fenerbahçe,1997-10-24,28
1,5,DF,Johan Vásquez,Genoa,1998-10-22,27
1,6,MF,Érik Lira,Cruz Azul,2000-05-08,26
1,7,MF,Luis Romo,Guadalajara,1995-06-05,31
1,8,MF,Álvaro Fidalgo,Real Betis,1997-04-09,29
1,9,FW,Raúl Jiménez,Fulham,1991-05-05,35
1,10,FW,Alexis Vega,Toluca,1997-11-25,28
1,11,FW,Santiago Giménez,Milan,2001-04-18,25
1,12,GK,Carlos Acevedo,Santos Laguna,1996-04-19,30
1,13,GK,Guillermo Ochoa,AEL Limassol,1985-07-13,40
1,14,FW,Armando González,Guadalajara,2003-04-20,23
1,15,DF,Israel Reyes,América,2000-05-23,26
1,16,FW,Julián Quiñones,Al-Qadsiah,1997-03-24,29
1,17,MF,Orbelín Pineda,AEK Athens,1996-03-24,30
1,18,MF,Obed Vargas,Atlético Madrid,2005-08-05,20
1,19,MF,Gilberto Mora,Tijuana,2008-10-14,17
1,20,DF,Mateo Chávez,AZ,2004-05-12,22
1,21,FW,César Huerta,Anderlecht,2000-12-03,25
1,22,FW,Guillermo Martínez,Pumas UNAM,1995-03-15,31
1,23,DF,Jesús Gallardo,Toluca,1994-08-15,31
1,24,MF,Luis Chávez,Dynamo Moscow,1996-01-15,30
1,25,FW,Roberto Alvarado,Guadalajara,1998-09-07,27
1,26,MF,Brian Gutiérrez,Guadalajara,2003-06-17,22
2,1,GK,Ronwen Williams,Mamelodi Sundowns,1992-01-21,34
2,2,DF,Thabang Matuludi,Polokwane City,1999-01-14,27
2,3,DF,Khulumani Ndamane,Mamelodi Sundowns,2004-02-05,22
2,4,MF,Teboho Mokoena,Mamelodi Sundowns,1997-01-24,29
2,5,MF,Thalente Mbatha,Orlando Pirates,2000-03-06,26
2,6,DF,Aubrey Modiba,Mamelodi Sundowns,1995-07-22,30
2,7,FW,Oswin Appollis,Orlando Pirates,2001-08-25,24
2,8,FW,Tshepang Moremi,Orlando Pirates,2000-10-02,25
2,9,FW,Lyle Foster,Burnley,2000-09-03,25
2,10,FW,Relebohile Mofokeng,Orlando Pirates,2004-10-23,21
2,11,MF,Themba Zwane,Mamelodi Sundowns,1989-08-03,36
2,12,FW,Thapelo Maseko,AEL Limassol,2003-11-11,22
2,13,MF,Sphephelo Sithole,Tondela,1999-03-03,27
2,14,DF,Mbekezeli Mbokazi,Chicago Fire FC,2005-09-19,20
2,15,FW,Iqraam Rayners,Mamelodi Sundowns,1995-12-19,30
2,16,GK,Sipho Chaine,Orlando Pirates,1996-12-14,29
2,17,FW,Evidence Makgopa,Orlando Pirates,2000-06-05,26
2,18,DF,Samukele Kabini,Molde,2004-03-15,22
2,19,DF,Nkosinathi Sibisi,Orlando Pirates,1995-09-22,30
2,20,DF,Khuliso Mudau,Mamelodi Sundowns,1995-04-26,31
2,21,DF,Ime Okon,Hannover 96,2004-02-20,22
2,22,GK,Ricardo Goss,Siwelele,1994-04-02,32
2,23,MF,Jayden Adams,Mamelodi Sundowns,2001-05-05,25
2,24,DF,Olwethu Makhanya,Philadelphia Union,2004-04-30,22
2,25,FW,Kamogelo Sebelebele,Orlando Pirates,2002-07-21,23
2,26,DF,Bradley Cross,Kaizer Chiefs,2001-01-30,25
3,1,GK,Kim Seung-gyu,FC Tokyo,1990-09-30,35
3,2,DF,Lee Han-beom,Midtjylland,2002-06-17,23
3,3,MF,Lee Gi-hyuk,Gangwon FC,2000-07-07,25
3,4,DF,Kim Min-jae,Bayern Munich,1996-11-15,29
3,5,DF,Kim Tae-hyeon,Kashima Antlers,2000-09-17,25
3,6,MF,Hwang In-beom,Feyenoord,1996-09-20,29
3,7,FW,Son Heung-min,Los Angeles FC,1992-07-08,33
3,8,MF,Paik Seung-ho,Birmingham City,1997-03-17,29
3,9,FW,Cho Gue-sung,Midtjylland,1998-01-25,28
3,10,MF,Lee Jae-sung,Mainz 05,1992-08-10,33
3,11,MF,Hwang Hee-chan,Wolverhampton Wanderers,1996-01-26,30
3,12,GK,Song Bum-keun,Jeonbuk Hyundai Motors,1997-10-15,28
3,13,DF,Lee Tae-seok,Austria Wien,2002-07-28,23
3,14,DF,Cho Wi-je,Jeonbuk Hyundai Motors,2001-08-25,24
3,15,DF,Kim Moon-hwan,Daejeon Hana Citizen,1995-08-01,30
3,16,DF,Park Jin-seob,Zhejiang,1995-10-23,30
3,17,MF,Bae Jun-ho,Stoke City,2003-08-21,22
3,18,FW,Oh Hyeon-gyu,Beşiktaş,2001-04-12,25
3,19,MF,Lee Kang-in,Paris Saint-Germain,2001-02-19,25
3,20,MF,Yang Hyun-jun,Celtic,2002-05-25,24
3,21,GK,Jo Hyeon-woo,Ulsan HD,1991-09-25,34
3,22,DF,Seol Young-woo,Red Star Belgrade,1998-12-05,27
3,23,DF,Jens Castrop,Borussia Mönchengladbach,2003-07-29,22
3,24,MF,Kim Jin-gyu,Jeonbuk Hyundai Motors,1997-02-24,29
3,25,MF,Eom Ji-sung,Swansea City,2002-05-09,24
3,26,MF,Lee Dong-gyeong,Ulsan HD,1997-09-20,28
4,1,GK,Nikola Vasilj,FC St. Pauli,1995-12-02,30
4,2,DF,Nihad Mujakić,Gaziantep,1998-04-15,28
4,3,DF,Dennis Hadžikadunić,Sampdoria,1998-07-09,27
4,4,DF,Tarik Muharemović,Sassuolo,2003-02-28,23
4,5,DF,Sead Kolašinac,Atalanta,1993-06-20,32
4,6,MF,Benjamin Tahirović,Brøndby,2003-03-03,23
4,7,DF,Amar Dedić,Benfica,2002-08-18,23
4,8,MF,Armin Gigović,Young Boys,2002-04-06,24
4,9,FW,Samed Baždar,Jagiellonia Białystok,2004-01-31,22
4,10,FW,Ermedin Demirović,VfB Stuttgart,1998-03-25,28
4,11,FW,Edin Džeko,Schalke 04,1986-03-17,40
4,12,GK,Mladen Jurkas,Borac Banja Luka,2007-10-07,18
4,13,MF,Ivan Bašić,Astana,2002-04-30,24
4,14,MF,Ivan Šunjić,Pafos,1996-10-09,29
4,15,MF,Amar Memić,Viktoria Plzeň,2001-01-20,25
4,16,MF,Amir Hadžiahmetović,Hull City,1997-03-08,29
4,17,MF,Dženis Burnić,Karlsruher SC,1998-05-22,28
4,18,DF,Nikola Katić,Schalke 04,1996-10-10,29
4,19,FW,Kerim Alajbegović,Red Bull Salzburg,2007-09-21,18
4,20,FW,Esmir Bajraktarević,PSV Eindhoven,2005-03-10,21
4,21,DF,Stjepan Radeljić,Rijeka,1997-09-05,28
4,22,GK,Martin Zlomislić,Rijeka,1998-08-16,27
4,23,FW,Haris Tabaković,Borussia Mönchengladbach,1994-06-20,31
4,24,DF,Arjan Malić,Sturm Graz,2005-08-28,20
4,25,FW,Jovo Lukić,Universitatea Cluj,1998-11-28,27
4,26,MF,Ermin Mahmić,Slovan Liberec,2005-03-14,21
5,1,GK,Dayne St. Clair,Inter Miami CF,1997-05-09,29
5,2,DF,Alistair Johnston,Celtic,1998-10-08,27
5,3,DF,Alfie Jones,Middlesbrough,1997-10-07,28
5,4,DF,Luc de Fougerolles,Dender,2005-10-12,20
5,5,DF,Joel Waterman,Chicago Fire FC,1996-01-24,30
5,6,MF,Mathieu Choinière,Los Angeles FC,1999-02-07,27
5,7,MF,Stephen Eustáquio,Los Angeles FC,1996-12-21,29
5,8,MF,Ismaël Koné,Sassuolo,2002-06-16,23
5,9,FW,Cyle Larin,Southampton,1995-04-17,31
5,10,FW,Jonathan David,Juventus,2000-01-14,26
5,11,MF,Liam Millar,Hull City,1999-09-27,26
5,12,FW,Tani Oluwaseyi,Villarreal,2000-05-15,26
5,13,DF,Derek Cornelius,Rangers,1997-11-25,28
5,14,MF,Jacob Shaffelburg,Los Angeles FC,1999-11-26,26
5,15,DF,Moïse Bombito,Nice,2000-03-30,26
5,16,GK,Maxime Crépeau,Orlando City SC,1994-05-11,32
5,17,FW,Tajon Buchanan,Villarreal,1999-02-08,27
5,18,GK,Owen Goodman,Barnsley,2003-11-27,22
5,19,DF,Alphonso Davies,Bayern Munich,2000-11-02,25
5,20,FW,Ali Ahmed,Norwich City,2000-10-10,25
5,21,MF,Jonathan Osorio,Toronto FC,1992-06-12,33
5,22,DF,Richie Laryea,Toronto FC,1995-01-07,31
5,23,DF,Niko Sigur,Hajduk Split,2003-09-09,22
5,24,FW,Promise David,Union Saint-Gilloise,2001-07-03,24
5,25,MF,Nathan Saliba,Anderlecht,2004-02-07,22
5,26,FW,Jayden Nelson,Austin FC,2002-09-26,23
6,1,GK,Mahmud Abunada,Al-Rayyan,2000-02-05,26
6,2,DF,Pedro Miguel,Al-Sadd,1990-08-06,35
6,3,DF,Lucas Mendes,Al-Wakrah,1990-07-03,35
6,4,DF,Issa Laye,Al-Arabi,1997-12-22,28
6,5,DF,Jassem Gaber,Al-Rayyan,2002-02-20,24
6,6,MF,Abdulaziz Hatem,Al-Rayyan,1990-01-01,36
6,7,FW,Ahmed Alaaeldin,Al-Rayyan,1993-01-31,33
6,8,FW,Edmilson Junior,Al-Duhail,1994-08-19,31
6,9,FW,Mohammed Muntari,Al-Gharafa,1993-12-20,32
6,10,FW,Hassan Al-Haydos,Al-Sadd,1990-12-11,35
6,11,FW,Akram Afif,Al-Sadd,1996-11-18,29
6,12,MF,Karim Boudiaf,Al-Duhail,1990-09-16,35
6,13,DF,Ayoub Al-Oui,Al-Gharafa,2005-03-11,21
6,14,DF,Homam Ahmed,Cultural Leonesa,1999-08-25,26
6,15,FW,Yusuf Abdurisag,Al-Wakrah,1999-08-06,26
6,16,DF,Boualem Khoukhi,Al-Sadd,1990-07-09,35
6,17,MF,Ahmed Al-Ganehi,Al-Gharafa,2000-09-22,25
6,18,DF,Sultan Al-Brake,Al-Duhail,1996-04-07,30
6,19,FW,Almoez Ali,Al-Duhail,1996-08-19,29
6,20,MF,Ahmed Fathy,Al-Arabi,1993-01-25,33
6,21,GK,Salah Zakaria,Al-Duhail,1999-04-24,27
6,22,GK,Meshaal Barsham,Al-Sadd,1998-02-14,28
6,23,MF,Assim Madibo,Al-Wakrah,1996-10-22,29
6,24,FW,Tahsin Jamshid,Al-Duhail,2006-06-16,19
6,25,DF,Al-Hashmi Al-Hussain,Al-Arabi,2003-08-15,22
6,26,FW,Mohamed Manai,Al-Shamal,2002-10-25,23
7,1,GK,Gregor Kobel,Borussia Dortmund,1997-12-06,28
7,2,DF,Miro Muheim,Hamburger SV,1998-03-24,28
7,3,DF,Silvan Widmer,Mainz 05,1993-03-05,33
7,4,DF,Nico Elvedi,Borussia Mönchengladbach,1996-09-30,29
7,5,DF,Manuel Akanji,Inter Milan,1995-07-19,30
7,6,MF,Denis Zakaria,Monaco,1996-11-20,29
7,7,FW,Breel Embolo,Rennes,1997-02-14,29
7,8,MF,Remo Freuler,Bologna,1992-04-15,34
7,9,MF,Johan Manzambi,SC Freiburg,2005-10-14,20
7,10,MF,Granit Xhaka,Sunderland,1992-09-27,33
7,11,FW,Dan Ndoye,Nottingham Forest,2000-10-25,25
7,12,GK,Yvon Mvogo,Lorient,1994-06-06,32
7,13,DF,Ricardo Rodriguez,Real Betis,1992-08-25,33
7,14,MF,Ardon Jashari,Milan,2002-07-30,23
7,15,MF,Djibril Sow,Sevilla,1997-02-06,29
7,16,FW,Christian Fassnacht,Young Boys,1993-11-11,32
7,17,FW,Rubén Vargas,Sevilla,1998-08-05,27
7,18,DF,Eray Cömert,Valencia,1998-02-04,28
7,19,FW,Noah Okafor,Leeds United,2000-05-24,26
7,20,MF,Michel Aebischer,Pisa,1997-01-06,29
7,21,GK,Marvin Keller,Young Boys,2002-07-03,23
7,22,MF,Fabian Rieder,FC Augsburg,2002-02-16,24
7,23,FW,Zeki Amdouni,Burnley,2000-12-04,25
7,24,DF,Aurèle Amenda,Eintracht Frankfurt,2003-07-31,22
7,25,DF,Luca Jaquez,VfB Stuttgart,2003-06-02,23
7,26,FW,Cedric Itten,Fortuna Düsseldorf,1996-12-27,29
8,1,GK,Alisson,Liverpool,1992-10-02,33
8,2,MF,Éderson Silva,Atalanta,1999-07-07,26
8,3,DF,Gabriel Magalhães,Arsenal,1997-12-19,28
8,4,DF,Marquinhos,Paris Saint-Germain,1994-05-14,32
8,5,MF,Casemiro,Manchester United,1992-02-23,34
8,6,DF,Alex Sandro,Flamengo,1991-01-26,35
8,7,FW,Vinícius Júnior,Real Madrid,2000-07-12,25
8,8,MF,Bruno Guimarães,Newcastle United,1997-11-16,28
8,9,FW,Matheus Cunha,Manchester United,1999-05-27,27
8,10,FW,Neymar,Santos,1992-02-05,34
8,11,FW,Raphinha,Barcelona,1996-12-14,29
8,12,GK,Weverton,Grêmio,1987-12-13,38
8,13,DF,Danilo Luiz,Flamengo,1991-07-15,34
8,14,DF,Bremer,Juventus,1997-03-18,29
8,15,DF,Léo Pereira,Flamengo,1996-01-31,30
8,16,DF,Douglas Santos,Zenit Saint Petersburg,1994-03-22,32
8,17,MF,Fabinho,Al-Ittihad,1993-10-23,32
8,18,MF,Danilo Santos,Botafogo,2001-04-29,25
8,19,FW,Endrick,Lyon,2006-07-21,19
8,20,MF,Lucas Paquetá,Flamengo,1997-08-27,28
8,21,FW,Luiz Henrique,Zenit Saint Petersburg,2001-01-02,25
8,22,FW,Gabriel Martinelli,Arsenal,2001-06-18,24
8,23,GK,Ederson Moraes,Fenerbahçe,1993-08-17,32
8,24,DF,Roger Ibañez,Al-Ahli,1998-11-23,27
8,25,FW,Igor Thiago,Brentford,2001-06-26,24
8,26,FW,Rayan,Bournemouth,2006-08-03,19
9,1,GK,Johny Placide,Bastia,1988-01-29,38
9,2,DF,Carlens Arcus,Angers,1996-06-28,29
9,3,DF,Keeto Thermoncy,Young Boys,2006-03-29,20
9,4,DF,Ricardo Adé,LDU Quito,1990-05-21,36
9,5,DF,Hannes Delcroix,Lugano,1999-02-28,27
9,6,MF,Carl Sainté,El Paso Locomotive FC,2002-08-09,23
9,7,FW,Derrick Etienne Jr.,Toronto FC,1996-11-25,29
9,8,DF,Martin Expérience,Nancy,1999-03-09,27
9,9,FW,Duckens Nazon,Esteghlal,1994-04-07,32
9,10,MF,Jean-Ricner Bellegarde,Wolverhampton Wanderers,1998-06-27,27
9,11,FW,Louicius Deedson,FC Dallas,2001-02-11,25
9,12,GK,Alexandre Pierre,Sochaux,2001-02-25,25
9,13,DF,Duke Lacroix,Colorado Springs Switchbacks FC,1993-10-14,32
9,14,DF,Garven Metusala,Colorado Springs Switchbacks FC,1999-12-31,26
9,15,FW,Ruben Providence,Almere City,2001-07-07,24
9,16,FW,Lenny Joseph,Ferencváros,2000-10-12,25
9,17,MF,Danley Jean Jacques,Philadelphia Union,2000-05-20,26
9,18,FW,Wilson Isidor,Sunderland,2000-08-27,25
9,19,FW,Yassin Fortuné,Vizela,1999-01-30,27
9,20,FW,Frantzdy Pierrot,Çaykur Rizespor,1995-03-29,31
9,21,FW,Josué Casimir,Auxerre,2001-09-24,24
9,22,DF,Jean-Kévin Duverne,Gent,1997-07-12,28
9,23,GK,Josué Duverger,Cosmos Koblenz,2000-04-27,26
9,24,DF,Wilguens Paugain,Zulte Waregem,2001-08-24,24
9,25,MF,Dominique Simon,Tatran Prešov,2000-07-29,25
9,26,MF,Woodensky Pierre,Violette,2004-12-30,21
10,1,GK,Yassine Bounou,Al-Hilal,1991-04-05,35
10,2,DF,Achraf Hakimi,Paris Saint-Germain,1998-11-04,27
10,3,DF,Noussair Mazraoui,Manchester United,1997-11-14,28
10,4,MF,Sofyan Amrabat,Real Betis,1996-08-21,29
10,5,DF,Marwane Saâdane,Al-Fateh,1992-01-17,34
10,6,MF,Ayyoub Bouaddi,Lille,2007-10-02,18
10,7,MF,Chemsdine Talbi,Sunderland,2005-05-09,21
10,8,MF,Azzedine Ounahi,Girona,2000-04-19,26
10,9,FW,Soufiane Rahimi,Al Ain,1996-06-02,30
10,10,FW,Brahim Díaz,Real Madrid,1999-08-03,26
10,11,MF,Ismael Saibari,PSV Eindhoven,2001-01-28,25
10,12,GK,Munir Mohamedi,RS Berkane,1989-05-10,37
10,13,DF,Zakaria El Ouahdi,Genk,2001-12-31,24
10,14,DF,Issa Diop,Fulham,1997-01-09,29
10,15,MF,Samir El Mourabet,Strasbourg,2005-10-06,20
10,16,MF,Gessime Yassine,Strasbourg,2005-11-22,20
10,17,FW,Amine Sbaï,Angers,2000-11-05,25
10,18,DF,Chadi Riad,Crystal Palace,2003-06-17,22
10,19,DF,Youssef Belammari,Al Ahly,1998-09-20,27
10,20,FW,Ayoub El Kaabi,Olympiacos,1993-06-25,32
10,21,FW,Ayoube Amaimouni,Eintracht Frankfurt,2004-11-30,21
10,22,GK,Ahmed Reda Tagnaouti,AS FAR,1996-04-05,30
10,23,MF,Bilal El Khannouss,VfB Stuttgart,2004-05-10,22
10,24,MF,Neil El Aynaoui,Roma,2001-07-02,24
10,25,DF,Redouane Halhal,Mechelen,2003-03-05,23
10,26,DF,Anass Salah-Eddine,PSV Eindhoven,2002-01-18,24
11,1,GK,Angus Gunn,Nottingham Forest,1996-01-22,30
11,2,DF,Aaron Hickey,Brentford,2002-06-10,24
11,3,DF,Andy Robertson,Liverpool,1994-03-11,32
11,4,MF,Scott McTominay,Napoli,1996-12-08,29
11,5,DF,Grant Hanley,Hibernian,1991-11-20,34
11,6,DF,Kieran Tierney,Celtic,1997-06-05,29
11,7,MF,John McGinn,Aston Villa,1994-10-18,31
11,8,MF,Tyler Fletcher,Manchester United,2007-03-19,19
11,9,FW,Lyndon Dykes,Charlton Athletic,1995-10-07,30
11,10,FW,Ché Adams,Torino,1996-07-13,29
11,11,MF,Ryan Christie,Bournemouth,1995-02-22,31
11,12,GK,Liam Kelly,Rangers,1996-01-23,30
11,13,DF,Jack Hendry,Al-Ettifaq,1995-05-07,31
11,14,FW,Ross Stewart,Southampton,1996-07-11,29
11,15,DF,John Souttar,Rangers,1996-09-25,29
11,16,DF,Dominic Hyam,Wrexham,1995-12-20,30
11,17,FW,Ben Gannon-Doak,Bournemouth,2005-11-11,20
11,18,FW,George Hirst,Ipswich Town,1999-02-15,27
11,19,MF,Lewis Ferguson,Bologna,1999-08-24,26
11,20,FW,Lawrence Shankland,Heart of Midlothian,1995-08-10,30
11,21,GK,Craig Gordon,Heart of Midlothian,1982-12-31,43
11,22,DF,Nathan Patterson,Everton,2001-10-16,24
11,23,MF,Kenny McLean,Norwich City,1992-01-08,34
11,24,DF,Anthony Ralston,Celtic,1998-11-16,27
11,25,FW,Findlay Curtis,Kilmarnock,2006-06-09,20
11,26,DF,Scott McKenna,Dinamo Zagreb,1996-11-12,29
12,1,GK,Mathew Ryan,Levante,1992-04-08,34
12,2,DF,Miloš Degenek,APOEL,1994-04-28,32
